Price,Close,High,Low,Open,Volume
1980-12-02,0.1250070184469223,0.12772437843212434,0.1250070184469223,0.1250070184469223,100710400
1980-12-03,0.12228899449110031,0.12364768012203745,0.12228899449110031,0.12364768012203745,25177600
1980-12-04,0.12636569142341614,0.12772437657959967,0.12636569142341614,0.12636569142341614,22694400
1980-12-05,0.11957165598869324,0.12228901739288228,0.11957165598869324,0.12228901739288228,7590400
1980-12-08,0.1127774715423584,0.11413685101017851,0.1127774715423584,0.11413685101017851,5414400
1980-12-09,0.11006023734807968,0.11277759988845334,0.11006023734807968,0.11277759988845334,5824000
1980-12-10,0.10326670855283737,0.10734274255170162,0.10326670855283737,0.10734274255170162,5875200
1980-12-11,0.0978313535451889,0.1005487149117512,0.0978313535451889,0.1005487149117512,5440000
1980-12-12,0.10190735757350922,0.10326673742483451,0.10190735757350922,0.10190735757350922,8153600
1980-12-15,0.10598412901163101,0.107342804337775,0.10598412901163101,0.10598412901163101,6643200
1980-12-16,0.10326670855283737,0.10598406800760551,0.10326670855283737,0.10598406800760551,6630400
1980-12-17,0.09919000416994095,0.1019073645710357,0.09919000416994095,0.1019073645710357,4672000
1980-12-18,0.10190735757350922,0.10462541234879792,0.10190735757350922,0.10190735757350922,11251200
1980-12-19,0.10598412901163101,0.107342804337775,0.10598412901163101,0.10598412901163101,10035200
1980-12-22,0.10598412901163101,0.1087014900305009,0.10598412901163101,0.10598412901163101,1856000
1980-12-23,0.10870141535997391,0.11141877451220168,0.10870141535997391,0.10870141535997391,5696000
1980-12-24,0.1127774715423584,0.11549552555083561,0.1127774715423584,0.1127774715423584,2444800
1980-12-26,0.11413691192865372,0.1168542728268852,0.11413691192865372,0.11413691192865372,1459200
1980-12-29,0.1127774715423584,0.11549552555083561,0.1127774715423584,0.11413685101017851,1740800
1980-12-30,0.11549549549818039,0.11685418005187515,0.11549549549818039,0.11549549549818039,4364800
1980-12-31,0.11413691192865372,0.1168542728268852,0.11413691192865372,0.11549558719447872,2918400
1981-01-02,0.11685431003570557,0.11957167179920103,0.11685431003570557,0.11685431003570557,1574400
1981-01-05,0.12160997837781906,0.12364765392879895,0.12160997837781906,0.12160997837781906,5824000
1981-01-06,0.12228899449110031,0.12364768012203745,0.12228899449110031,0.12228899449110031,6950400
1981-01-07,0.11549549549818039,0.11685418005187515,0.11549549549818039,0.11685418005187515,8806400
1981-01-08,0.1127774715423584,0.11413685101017851,0.1127774715423584,0.11413685101017851,3302400
1981-01-09,0.11141879856586456,0.11413686323196841,0.11141879856586456,0.11277748361858576,2470400
1981-01-12,0.1127774715423584,0.11549552555083561,0.1127774715423584,0.1127774715423584,3353600
1981-01-13,0.11549549549818039,0.11821285423899666,0.11549549549818039,0.11549549549818039,4467200
